Airline,FlightNumber,Departure,Arrival,DepartureTime,ArrivalTime,Delay
Lufthansa,8337,Sydney,Berlin,Night,Afternoon,Delayed
South Korea Air,990,New York,Paris,Afternoon,Night,Delayed
Delta Airlines,2365,Berlin,Paris,Morning,Morning,Delayed
South Korea Air,8807,Madrid,London,Afternoon,Afternoon,Delayed
Japan Airlines,3364,Tokyo,Dubai,Evening,Afternoon,On Time
Japan Airlines,2777,Sydney,New York,Night,Morning,Cancelled
Kuwait Airways,5146,Paris,Berlin,Morning,Morning,On Time
American Airlines,9475,Doha,Madrid,Night,Afternoon,On Time
Etihad Airways,7842,Tokyo,London,Afternoon,Afternoon,Delayed
Delta Airlines,3789,London,Tokyo,Afternoon,Afternoon,Cancelled
British Airways,709,London,Paris,Night,Evening,On Time
British Airways,3404,Sydney,Sydney,Afternoon,Afternoon,Delayed
Air Algerie,5807,Rome,Berlin,Morning,Afternoon,Delayed
British Airways,111,Tokyo,Berlin,Morning,Night,Cancelled
American Airlines,1235,Sydney,Berlin,Afternoon,Morning,On Time
American Airlines,1548,Paris,Madrid,Morning,Afternoon,Delayed
American Airlines,6798,Rome,London,Morning,Night,On Time
Air Algerie,216,Tokyo,Sydney,Afternoon,Morning,On Time
Lufthansa,475,Sydney,London,Evening,Afternoon,Delayed
Turkish Airlines,4111,London,Doha,Night,Morning,On Time
Swiss International Air Lines,1129,London,Paris,Morning,Night,On Time
American Airlines,2140,Doha,Tokyo,Evening,Evening,Delayed
Emirates,8818,New York,Berlin,Evening,Afternoon,On Time
Delta Airlines,8776,Paris,Tokyo,Night,Night,Cancelled
South Korea Air,8096,Doha,New York,Morning,Morning,Delayed
South Korea Air,5405,Dubai,Paris,Morning,Evening,On Time
ITA Airways,9281,London,London,Afternoon,Evening,On Time
Turkish Airlines,8604,Dubai,New York,Morning,Evening,Cancelled
Swiss International Air Lines,6900,New York,Dubai,Morning,Night,Delayed
American Airlines,8508,Dubai,Dubai,Afternoon,Afternoon,On Time
Qatar Airways,6550,New York,New York,Evening,Afternoon,On Time
Emirates,9649,Tokyo,Berlin,Morning,Afternoon,Delayed
Saudi Arabian Airlines,7775,Sydney,Dubai,Evening,Night,Delayed
American Airlines,8546,Dubai,Sydney,Evening,Evening,On Time
American Airlines,2092,London,Dubai,Night,Night,Delayed
British Airways,7742,Paris,Dubai,Morning,Evening,Cancelled
Lufthansa,3476,New York,London,Evening,Night,Delayed
Lufthansa,4137,Tokyo,Paris,Evening,Morning,Cancelled
South Korea Air,2071,Doha,Doha,Morning,Morning,On Time
Delta Airlines,8667,London,Doha,Afternoon,Night,Cancelled
Saudi Arabian Airlines,5288,Berlin,Tokyo,Night,Morning,Cancelled
British Airways,9678,Sydney,London,Evening,Evening,On Time
ITA Airways,2992,London,Rome,Morning,Afternoon,On Time
Saudi Arabian Airlines,5801,Tokyo,Doha,Night,Morning,Cancelled
British Airways,9190,Dubai,Rome,Morning,Evening,On Time
Saudi Arabian Airlines,7875,Madrid,Madrid,Evening,Afternoon,Delayed
Japan Airlines,4954,Dubai,Berlin,Afternoon,Night,Cancelled
Japan Airlines,2040,Doha,Rome,Night,Evening,Cancelled
ANA,8254,Berlin,Doha,Night,Evening,Cancelled
South Korea Air,3496,New York,London,Morning,Night,Cancelled
ANA,7004,Tokyo,London,Night,Morning,On Time
Turkish Airlines,6759,Berlin,Tokyo,Afternoon,Morning,Delayed
South Korea Air,7191,Tokyo,Doha,Afternoon,Night,Delayed
Turkish Airlines,1954,Doha,New York,Afternoon,Morning,Cancelled
American Airlines,9370,New York,Madrid,Evening,Afternoon,Cancelled
South Korea Air,6285,New York,Doha,Afternoon,Evening,Delayed
Air Algerie,9441,Madrid,Madrid,Afternoon,Morning,On Time
American Airlines,9401,Dubai,Sydney,Morning,Evening,On Time
Air Algerie,5071,Rome,Berlin,Afternoon,Evening,Delayed
Delta Airlines,7300,Rome,Tokyo,Evening,Morning,Delayed
Turkish Airlines,3240,Doha,Sydney,Morning,Evening,On Time
Air Algerie,9326,Berlin,Sydney,Afternoon,Evening,Cancelled
Qatar Airways,5919,Rome,Madrid,Evening,Night,On Time
British Airways,2403,Tokyo,Madrid,Night,Night,Cancelled
British Airways,3623,London,New York,Evening,Morning,On Time
South Korea Air,257,Rome,Sydney,Morning,Evening,On Time
Qatar Airways,9562,Sydney,Tokyo,Afternoon,Afternoon,Delayed
American Airlines,6015,Tokyo,Doha,Evening,Night,Cancelled
Etihad Airways,4586,Madrid,Dubai,Evening,Morning,Cancelled
Etihad Airways,5149,Paris,London,Evening,Afternoon,Cancelled
Saudi Arabian Airlines,1881,Rome,London,Afternoon,Night,On Time
Lufthansa,6715,Madrid,Rome,Night,Afternoon,Delayed
Swiss International Air Lines,1095,London,Doha,Afternoon,Afternoon,Delayed
Etihad Airways,9772,Paris,Madrid,Night,Evening,On Time
South Korea Air,7761,Berlin,Madrid,Evening,Evening,Delayed
Turkish Airlines,4051,Madrid,London,Morning,Afternoon,Delayed
Lufthansa,3601,Doha,London,Morning,Morning,Delayed
American Airlines,3601,Rome,Berlin,Afternoon,Night,Cancelled
Kuwait Airways,680,Tokyo,Berlin,Night,Morning,Cancelled
South Korea Air,9703,Madrid,Paris,Night,Morning,On Time
Etihad Airways,6874,Berlin,Berlin,Evening,Evening,Delayed
ITA Airways,1817,Doha,Berlin,Morning,Evening,Delayed
Lufthansa,1244,Doha,Madrid,Night,Morning,On Time
Emirates,4455,Madrid,Paris,Morning,Evening,Delayed
Kuwait Airways,1796,Rome,Tokyo,Morning,Afternoon,Delayed
Lufthansa,950,Paris,Rome,Evening,Night,Cancelled
Turkish Airlines,7960,Sydney,Doha,Morning,Morning,Cancelled
British Airways,3044,London,Dubai,Evening,Morning,Cancelled
Saudi Arabian Airlines,2273,Doha,Doha,Evening,Afternoon,Delayed
Japan Airlines,3058,Madrid,Tokyo,Morning,Afternoon,On Time
Kuwait Airways,2430,Dubai,Berlin,Evening,Evening,On Time
Lufthansa,4576,Tokyo,Tokyo,Afternoon,Afternoon,Delayed
ITA Airways,707,Berlin,London,Morning,Morning,On Time
American Airlines,9163,Rome,Sydney,Evening,Evening,Delayed
Etihad Airways,1302,Dubai,Berlin,Night,Night,On Time
British Airways,3185,London,Doha,Night,Afternoon,Cancelled
Delta Airlines,5548,London,Sydney,Night,Morning,Delayed
Air Algerie,5760,Dubai,Dubai,Morning,Afternoon,Cancelled
Saudi Arabian Airlines,4072,Rome,Berlin,Night,Afternoon,Delayed
Japan Airlines,2874,Tokyo,Sydney,Evening,Night,Cancelled
Kuwait Airways,7969,Madrid,New York,Afternoon,Night,On Time
ITA Airways,1023,Sydney,Rome,Afternoon,Morning,On Time
Air Algerie,2080,Berlin,Paris,Evening,Morning,On Time
ITA Airways,215,Berlin,Paris,Evening,Evening,Cancelled
Lufthansa,6727,Sydney,Doha,Evening,Morning,Cancelled
ITA Airways,6321,Paris,Madrid,Evening,Afternoon,Delayed
British Airways,6342,Berlin,Dubai,Morning,Night,Delayed
Kuwait Airways,1038,London,Sydney,Afternoon,Night,On Time
ITA Airways,1834,Berlin,Doha,Evening,Evening,Cancelled
American Airlines,2422,Sydney,Berlin,Afternoon,Afternoon,Delayed
Lufthansa,386,New York,Tokyo,Afternoon,Evening,Delayed
Turkish Airlines,3004,London,Madrid,Morning,Morning,Delayed
Swiss International Air Lines,124,London,Dubai,Morning,Afternoon,Delayed
British Airways,6891,Berlin,Dubai,Evening,Afternoon,Delayed
Air Algerie,7509,London,Rome,Afternoon,Evening,On Time
British Airways,1846,New York,Rome,Morning,Evening,Delayed
ANA,3076,New York,London,Night,Morning,On Time
Turkish Airlines,5074,London,Madrid,Evening,Evening,On Time
Japan Airlines,6777,Madrid,Dubai,Afternoon,Morning,On Time
British Airways,7731,Doha,Rome,Evening,Evening,Cancelled
Turkish Airlines,5215,New York,New York,Night,Evening,Delayed
ANA,6650,Berlin,Paris,Afternoon,Afternoon,Cancelled
Qatar Airways,6575,New York,Madrid,Afternoon,Evening,Cancelled
Japan Airlines,2731,Tokyo,Paris,Afternoon,Afternoon,Delayed
Lufthansa,7146,London,London,Afternoon,Morning,Cancelled
Kuwait Airways,8503,New York,Paris,Morning,Morning,Delayed
Delta Airlines,1229,Berlin,Paris,Morning,Night,On Time
Etihad Airways,3343,Sydney,Madrid,Afternoon,Afternoon,On Time
Japan Airlines,2142,Berlin,Dubai,Night,Afternoon,Delayed
Saudi Arabian Airlines,8881,London,Sydney,Afternoon,Night,On Time
Swiss International Air Lines,8848,Dubai,Madrid,Night,Afternoon,Delayed
Swiss International Air Lines,147,Paris,Tokyo,Night,Afternoon,Cancelled
Saudi Arabian Airlines,3243,Rome,Doha,Morning,Morning,On Time
Delta Airlines,3717,Madrid,Paris,Night,Night,Cancelled
Japan Airlines,3027,Rome,London,Night,Night,Delayed
Turkish Airlines,8489,New York,Doha,Afternoon,Evening,Cancelled
Lufthansa,2046,New York,Dubai,Afternoon,Morning,Cancelled
British Airways,6871,Doha,Berlin,Afternoon,Afternoon,On Time
Kuwait Airways,9185,Madrid,Paris,Morning,Afternoon,On Time
South Korea Air,9728,Tokyo,Rome,Night,Evening,Cancelled
ITA Airways,9999,Doha,Tokyo,Night,Morning,Delayed
South Korea Air,3742,Tokyo,Doha,Morning,Morning,Delayed
Etihad Airways,8165,Tokyo,Madrid,Night,Morning,Delayed
Saudi Arabian Airlines,9896,Paris,Rome,Morning,Morning,Cancelled
Air Algerie,9550,Sydney,Berlin,Night,Morning,On Time
ITA Airways,9572,Sydney,Dubai,Morning,Evening,Delayed
British Airways,9668,Rome,Dubai,Night,Night,Cancelled
Japan Airlines,5286,Tokyo,Paris,Morning,Afternoon,Delayed
Emirates,3926,Tokyo,Paris,Evening,Morning,Cancelled
ANA,4053,Tokyo,Rome,Afternoon,Night,On Time
ITA Airways,9756,Rome,Rome,Morning,Night,Cancelled
Kuwait Airways,4028,London,Doha,Evening,Morning,On Time
South Korea Air,3246,Sydney,Paris,Morning,Afternoon,On Time
South Korea Air,6304,Sydney,Sydney,Afternoon,Night,Cancelled
Air Algerie,2208,Madrid,London,Afternoon,Afternoon,Cancelled
Japan Airlines,5611,Rome,Madrid,Night,Afternoon,Cancelled
Turkish Airlines,2120,Rome,New York,Night,Evening,Delayed
Emirates,1979,London,Dubai,Evening,Afternoon,Cancelled
Swiss International Air Lines,6539,Berlin,London,Night,Afternoon,Delayed
ANA,6181,Rome,Dubai,Night,Night,Cancelled
Japan Airlines,6413,Sydney,Rome,Morning,Morning,On Time
Delta Airlines,9248,Berlin,Doha,Evening,Afternoon,Delayed
Emirates,8898,Berlin,Rome,Morning,Morning,Delayed
ITA Airways,4296,Sydney,London,Afternoon,Evening,On Time
Qatar Airways,3229,Sydney,Tokyo,Night,Night,On Time
Delta Airlines,5639,Dubai,Berlin,Night,Night,On Time
Saudi Arabian Airlines,2869,New York,Berlin,Morning,Morning,On Time
Delta Airlines,4623,Sydney,Berlin,Morning,Evening,Delayed
Kuwait Airways,5727,London,London,Night,Afternoon,Delayed
Lufthansa,7233,London,Tokyo,Morning,Morning,Delayed
Saudi Arabian Airlines,3499,Doha,Dubai,Night,Morning,Delayed
Japan Airlines,4951,Paris,Berlin,Morning,Afternoon,Cancelled
American Airlines,8195,Paris,Madrid,Night,Night,On Time
Etihad Airways,1091,Tokyo,New York,Afternoon,Evening,Delayed
ITA Airways,3392,Rome,Rome,Night,Evening,Delayed
Swiss International Air Lines,2738,Doha,London,Night,Evening,Cancelled
Swiss International Air Lines,1922,Doha,London,Night,Night,On Time
Turkish Airlines,2865,Tokyo,Doha,Afternoon,Morning,On Time
Etihad Airways,9949,Doha,New York,Afternoon,Afternoon,Delayed
American Airlines,4385,Sydney,Dubai,Evening,Evening,Cancelled
Swiss International Air Lines,1652,Berlin,Berlin,Night,Morning,Delayed
Swiss International Air Lines,6281,Tokyo,Sydney,Night,Afternoon,On Time
South Korea Air,6850,Berlin,Tokyo,Night,Morning,Cancelled
British Airways,6946,Rome,Tokyo,Morning,Afternoon,Delayed
Air Algerie,8385,New York,New York,Morning,Afternoon,Cancelled
Delta Airlines,4793,Madrid,Tokyo,Afternoon,Afternoon,Delayed
South Korea Air,9316,London,New York,Night,Afternoon,Cancelled
Swiss International Air Lines,3512,London,Madrid,Evening,Afternoon,Cancelled
ITA Airways,273,Doha,Madrid,Night,Morning,Cancelled
Lufthansa,3489,Doha,Berlin,Morning,Afternoon,Delayed
Swiss International Air Lines,5277,Dubai,Tokyo,Evening,Evening,Cancelled
Saudi Arabian Airlines,8889,Sydney,Dubai,Night,Afternoon,On Time
American Airlines,1148,Sydney,London,Afternoon,Evening,Delayed
Swiss International Air Lines,7929,Rome,Madrid,Afternoon,Evening,On Time
Swiss International Air Lines,9959,Berlin,Doha,Evening,Night,Cancelled
ANA,9903,London,Rome,Night,Morning,Delayed
Swiss International Air Lines,428,Berlin,Rome,Evening,Afternoon,Cancelled
Japan Airlines,8211,Dubai,Dubai,Night,Morning,Delayed
ANA,9015,Dubai,Paris,Afternoon,Morning,Delayed
Delta Airlines,3864,Tokyo,Doha,Night,Morning,Delayed
Swiss International Air Lines,9832,Dubai,Berlin,Evening,Evening,Cancelled
Saudi Arabian Airlines,9524,London,Dubai,Night,Morning,On Time
Air Algerie,5860,Dubai,New York,Afternoon,Morning,Delayed
South Korea Air,5577,Tokyo,Sydney,Morning,Afternoon,Delayed
Delta Airlines,2288,Madrid,New York,Night,Morning,On Time
British Airways,7610,Doha,Paris,Morning,Afternoon,On Time
South Korea Air,2694,Sydney,Berlin,Afternoon,Evening,On Time
Air Algerie,7323,Madrid,Dubai,Evening,Evening,On Time
ANA,4704,Sydney,New York,Evening,Evening,On Time
Saudi Arabian Airlines,1183,London,New York,Afternoon,Afternoon,Cancelled
American Airlines,7889,Tokyo,Dubai,Evening,Morning,On Time
Delta Airlines,3191,New York,Madrid,Evening,Afternoon,Cancelled
Delta Airlines,8945,Doha,Madrid,Night,Night,On Time
Air Algerie,6337,Dubai,Paris,Night,Afternoon,Cancelled
ITA Airways,7929,Rome,Sydney,Morning,Afternoon,On Time
Qatar Airways,1739,Sydney,Berlin,Night,Afternoon,On Time
Swiss International Air Lines,4922,Paris,New York,Morning,Night,Delayed
Lufthansa,4326,Sydney,Berlin,Evening,Evening,On Time
Air Algerie,1071,Tokyo,Berlin,Night,Morning,Cancelled
Air Algerie,8133,Paris,Berlin,Evening,Afternoon,Delayed
Air Algerie,365,Paris,Dubai,Night,Afternoon,Delayed
Emirates,5279,Tokyo,Paris,Night,Evening,Cancelled
Delta Airlines,9337,Rome,Berlin,Night,Afternoon,Cancelled
British Airways,378,New York,London,Night,Morning,On Time
American Airlines,910,Doha,Sydney,Night,Morning,Cancelled
Delta Airlines,814,Sydney,Doha,Afternoon,Morning,On Time
Qatar Airways,2566,Paris,Madrid,Evening,Evening,On Time
South Korea Air,6613,Madrid,London,Morning,Evening,On Time
Air Algerie,8172,Madrid,Rome,Evening,Evening,On Time
Lufthansa,594,Berlin,Tokyo,Morning,Afternoon,On Time
Kuwait Airways,6739,Rome,Berlin,Evening,Morning,On Time
Delta Airlines,4185,Doha,Rome,Evening,Evening,On Time
Qatar Airways,9438,Rome,Sydney,Evening,Night,On Time
Delta Airlines,829,Berlin,Berlin,Night,Afternoon,Delayed
Turkish Airlines,1108,Paris,Dubai,Evening,Morning,Delayed
Kuwait Airways,8285,Rome,Dubai,Evening,Night,Delayed
Swiss International Air Lines,5810,Paris,Paris,Morning,Afternoon,On Time
Etihad Airways,1542,London,New York,Afternoon,Morning,On Time
Swiss International Air Lines,4068,Tokyo,Rome,Night,Morning,Delayed
Delta Airlines,2407,Sydney,Paris,Night,Morning,Cancelled
Delta Airlines,9612,Doha,Dubai,Morning,Evening,Cancelled
Emirates,9381,New York,London,Evening,Afternoon,On Time
American Airlines,6054,Doha,Tokyo,Afternoon,Afternoon,On Time
Swiss International Air Lines,3924,Berlin,Rome,Afternoon,Evening,Cancelled
Delta Airlines,9380,Berlin,Paris,Afternoon,Night,Delayed
ANA,8704,Rome,Dubai,Afternoon,Evening,On Time
Delta Airlines,1347,Doha,Doha,Evening,Night,Cancelled
British Airways,6319,Madrid,Paris,Morning,Night,Cancelled
American Airlines,5464,Rome,Madrid,Evening,Evening,On Time
ANA,343,Berlin,Paris,Afternoon,Evening,Delayed
ITA Airways,8652,Madrid,Paris,Evening,Night,Delayed
Turkish Airlines,9195,Paris,Doha,Morning,Evening,Delayed
American Airlines,986,Rome,Paris,Evening,Morning,Delayed
British Airways,3741,Doha,Madrid,Afternoon,Night,Cancelled
Air Algerie,7321,Madrid,New York,Evening,Evening,Delayed
Swiss International Air Lines,1235,Paris,Tokyo,Afternoon,Night,Cancelled
Kuwait Airways,103,Dubai,Sydney,Evening,Morning,On Time
Lufthansa,8790,Tokyo,Paris,Evening,Evening,On Time
ITA Airways,4516,Paris,Dubai,Afternoon,Morning,On Time
British Airways,1756,Paris,Berlin,Evening,Evening,On Time
Delta Airlines,9693,Tokyo,Doha,Morning,Night,Cancelled
Saudi Arabian Airlines,6798,Dubai,Dubai,Morning,Night,Delayed
Japan Airlines,7038,Paris,Dubai,Morning,Night,Cancelled
ITA Airways,8364,Dubai,Madrid,Night,Evening,Delayed
Lufthansa,3039,Berlin,New York,Morning,Evening,Cancelled
Kuwait Airways,3554,Berlin,Doha,Night,Morning,On Time
Qatar Airways,7522,Sydney,Dubai,Night,Evening,Delayed
Lufthansa,9136,Madrid,Madrid,Morning,Morning,Delayed
Lufthansa,4654,Madrid,Rome,Evening,Morning,On Time
Japan Airlines,7750,Berlin,Madrid,Night,Night,Cancelled
Turkish Airlines,4303,Paris,Berlin,Evening,Night,On Time
Turkish Airlines,5110,Sydney,Paris,Afternoon,Evening,On Time
Qatar Airways,6262,Berlin,Doha,Morning,Night,Delayed
Qatar Airways,7932,Paris,New York,Morning,Evening,Delayed
Qatar Airways,6229,Dubai,Doha,Night,Evening,Delayed
Delta Airlines,3885,Doha,London,Afternoon,Evening,Cancelled
Lufthansa,8781,Madrid,London,Evening,Night,On Time
Air Algerie,930,Paris,Dubai,Night,Afternoon,Cancelled
Air Algerie,3474,Sydney,Rome,Afternoon,Night,Cancelled
Etihad Airways,2485,Tokyo,London,Night,Evening,Cancelled
Qatar Airways,1352,Paris,Madrid,Evening,Evening,Delayed
Lufthansa,5073,London,Doha,Morning,Night,On Time
British Airways,7213,New York,Tokyo,Afternoon,Afternoon,Delayed
Qatar Airways,1766,New York,Madrid,Night,Night,Cancelled
Lufthansa,4446,Rome,Berlin,Evening,Morning,Delayed
South Korea Air,1585,London,Dubai,Morning,Evening,Delayed
Air Algerie,4007,Madrid,New York,Morning,Afternoon,Cancelled
Lufthansa,7221,Madrid,Sydney,Night,Night,Delayed
Delta Airlines,5818,London,New York,Morning,Night,On Time
ITA Airways,8122,London,New York,Night,Morning,Cancelled
Swiss International Air Lines,9851,Paris,Berlin,Evening,Afternoon,Delayed
Air Algerie,1589,Berlin,Sydney,Evening,Afternoon,On Time
Swiss International Air Lines,6863,Berlin,London,Night,Night,Cancelled
Japan Airlines,1191,New York,Berlin,Night,Night,Cancelled
Etihad Airways,4162,Sydney,Rome,Evening,Afternoon,Cancelled
Turkish Airlines,7387,Rome,Sydney,Morning,Morning,Cancelled
South Korea Air,2977,New York,Madrid,Afternoon,Night,Delayed
ANA,595,Rome,Doha,Afternoon,Evening,Delayed
Delta Airlines,9225,Berlin,Dubai,Evening,Night,Cancelled
ANA,9023,Paris,Sydney,Evening,Morning,Delayed
South Korea Air,4754,Madrid,Madrid,Evening,Night,Delayed
Turkish Airlines,5076,London,Sydney,Afternoon,Morning,Cancelled
Air Algerie,2383,New York,Paris,Night,Evening,Delayed
Delta Airlines,3837,Sydney,Tokyo,Night,Afternoon,Delayed
Delta Airlines,9113,Sydney,New York,Afternoon,Evening,Cancelled
South Korea Air,5597,Sydney,Sydney,Evening,Morning,Cancelled
ANA,7303,Doha,Dubai,Evening,Night,Cancelled
Japan Airlines,1437,New York,Doha,Morning,Night,On Time
British Airways,505,Rome,Sydney,Night,Morning,On Time
American Airlines,7415,Rome,Berlin,Afternoon,Morning,Cancelled
ITA Airways,3269,Tokyo,Tokyo,Night,Night,Delayed
Swiss International Air Lines,8269,Sydney,Madrid,Evening,Afternoon,On Time
ANA,8423,London,Berlin,Evening,Night,Delayed
Air Algerie,929,Sydney,London,Evening,Night,Delayed
Etihad Airways,4427,Tokyo,Dubai,Evening,Evening,On Time
Kuwait Airways,5028,London,Berlin,Evening,Night,Delayed
Emirates,5094,Dubai,Rome,Morning,Afternoon,Delayed
Kuwait Airways,6578,Doha,Tokyo,Night,Afternoon,Delayed
ANA,1710,Doha,Tokyo,Morning,Morning,Cancelled
Swiss International Air Lines,7799,London,Sydney,Night,Afternoon,On Time
Lufthansa,6143,Sydney,Paris,Afternoon,Afternoon,On Time
South Korea Air,6897,Paris,New York,Night,Night,Cancelled
Turkish Airlines,4608,London,Dubai,Afternoon,Night,On Time
ANA,4095,New York,Berlin,Night,Afternoon,On Time
South Korea Air,7741,Dubai,Madrid,Afternoon,Afternoon,Cancelled
British Airways,6738,Dubai,Madrid,Morning,Afternoon,On Time
Kuwait Airways,258,Sydney,Sydney,Evening,Evening,On Time
ANA,2013,New York,Dubai,Afternoon,Morning,On Time
Swiss International Air Lines,9459,Madrid,London,Night,Afternoon,Cancelled
British Airways,400,Paris,Tokyo,Afternoon,Morning,Delayed
Kuwait Airways,5064,Doha,New York,Night,Afternoon,On Time
ANA,9224,Berlin,Rome,Evening,Evening,Delayed
British Airways,3362,Rome,London,Evening,Afternoon,Cancelled
Kuwait Airways,3774,Rome,Sydney,Evening,Evening,Cancelled
British Airways,2678,Rome,Sydney,Morning,Morning,On Time
South Korea Air,7232,Madrid,Tokyo,Night,Night,Cancelled
South Korea Air,4198,Madrid,Rome,Morning,Morning,Delayed
Swiss International Air Lines,9514,Sydney,Madrid,Night,Evening,Cancelled
Kuwait Airways,1473,Berlin,London,Night,Morning,Cancelled
Lufthansa,3720,Dubai,Madrid,Evening,Afternoon,Delayed
Japan Airlines,9454,London,Dubai,Evening,Evening,Cancelled
Air Algerie,7952,New York,New York,Afternoon,Night,Delayed
ITA Airways,1874,Sydney,Madrid,Afternoon,Evening,On Time
Lufthansa,3940,New York,New York,Night,Morning,Cancelled
Swiss International Air Lines,717,Rome,New York,Afternoon,Evening,Cancelled
ITA Airways,4502,Paris,Berlin,Morning,Morning,Cancelled
American Airlines,4552,Sydney,Madrid,Night,Afternoon,Delayed
Delta Airlines,8795,Doha,Doha,Evening,Morning,On Time
Emirates,5354,Rome,Berlin,Evening,Afternoon,On Time
ITA Airways,3160,Tokyo,New York,Evening,Afternoon,Delayed
Air Algerie,788,London,New York,Afternoon,Night,Cancelled
American Airlines,1403,Madrid,Berlin,Morning,Night,Delayed
ANA,1470,Tokyo,Sydney,Night,Morning,On Time
Saudi Arabian Airlines,9852,Dubai,New York,Evening,Night,On Time
ITA Airways,9442,Berlin,Dubai,Afternoon,Evening,Cancelled
American Airlines,8987,Rome,London,Evening,Evening,Cancelled
Lufthansa,2860,London,Berlin,Afternoon,Evening,Delayed
South Korea Air,1345,Rome,Doha,Evening,Morning,Cancelled
Emirates,697,Madrid,Sydney,Afternoon,Afternoon,Delayed
British Airways,2626,Dubai,Tokyo,Afternoon,Morning,Cancelled
Air Algerie,5534,Paris,Paris,Morning,Evening,Cancelled
ITA Airways,2719,New York,Doha,Morning,Evening,Cancelled
American Airlines,810,Sydney,Madrid,Night,Evening,On Time
Delta Airlines,2463,Tokyo,Sydney,Morning,Evening,On Time
Qatar Airways,7518,New York,London,Morning,Night,Delayed
British Airways,323,Rome,London,Evening,Morning,On Time
American Airlines,7381,Sydney,Madrid,Evening,Afternoon,On Time
Qatar Airways,5076,Madrid,Tokyo,Afternoon,Afternoon,Delayed
Qatar Airways,4963,Paris,Paris,Morning,Morning,Cancelled
Emirates,7330,Madrid,Dubai,Night,Morning,Delayed
Lufthansa,5101,Doha,London,Night,Afternoon,Cancelled
Qatar Airways,8153,Doha,Rome,Morning,Afternoon,On Time
Etihad Airways,8997,Paris,Tokyo,Night,Night,On Time
Saudi Arabian Airlines,1070,Doha,London,Evening,Afternoon,Cancelled
Qatar Airways,7747,Madrid,Berlin,Evening,Night,On Time
ITA Airways,2323,London,Doha,Morning,Morning,Delayed
British Airways,179,New York,London,Morning,Morning,Cancelled
ITA Airways,9647,Tokyo,Rome,Morning,Night,Delayed
American Airlines,7790,Madrid,Madrid,Morning,Morning,Cancelled
Air Algerie,6676,Sydney,New York,Night,Night,On Time
Qatar Airways,1890,London,New York,Evening,Afternoon,Delayed
Air Algerie,3325,Madrid,Rome,Afternoon,Afternoon,Cancelled
American Airlines,4489,New York,Sydney,Night,Night,On Time
Lufthansa,4800,Paris,Doha,Morning,Night,Cancelled
Turkish Airlines,2057,Dubai,Berlin,Night,Afternoon,On Time
American Airlines,6421,New York,London,Afternoon,Afternoon,Cancelled
Emirates,4565,Madrid,London,Evening,Night,Cancelled
Delta Airlines,4058,Tokyo,Rome,Evening,Afternoon,Delayed
Air Algerie,4435,Rome,Berlin,Morning,Evening,Delayed
ITA Airways,2905,Madrid,Doha,Evening,Evening,Cancelled
Delta Airlines,6326,Dubai,Madrid,Afternoon,Evening,On Time
Qatar Airways,3145,Rome,New York,Night,Night,Delayed
Turkish Airlines,1536,Tokyo,Doha,Evening,Afternoon,Delayed
British Airways,2200,Dubai,Paris,Night,Morning,Delayed
Etihad Airways,3760,Rome,Rome,Afternoon,Morning,On Time
Emirates,5290,London,Berlin,Afternoon,Afternoon,On Time
Air Algerie,2002,Tokyo,Paris,Morning,Afternoon,Cancelled
ANA,4269,Tokyo,Paris,Morning,Afternoon,Delayed
American Airlines,5968,Madrid,New York,Evening,Night,On Time
Etihad Airways,5344,Paris,Tokyo,Afternoon,Afternoon,Cancelled
Saudi Arabian Airlines,5574,Tokyo,Dubai,Night,Morning,Cancelled
Turkish Airlines,6242,London,Madrid,Night,Afternoon,Cancelled
ANA,6389,Berlin,Dubai,Evening,Morning,On Time
South Korea Air,8363,Madrid,New York,Night,Evening,Delayed
Lufthansa,6571,New York,Berlin,Morning,Evening,Cancelled
Japan Airlines,9688,Doha,Dubai,Evening,Night,Cancelled
Swiss International Air Lines,5117,Rome,Madrid,Evening,Night,On Time
British Airways,1549,Dubai,Madrid,Afternoon,Evening,Delayed
Japan Airlines,7104,New York,Doha,Afternoon,Night,On Time
ANA,3492,London,London,Evening,Night,On Time
Turkish Airlines,8687,Paris,Berlin,Evening,Morning,On Time
Swiss International Air Lines,3711,Sydney,Dubai,Evening,Morning,Cancelled
Japan Airlines,2804,Sydney,New York,Morning,Night,On Time
Air Algerie,8840,New York,London,Afternoon,Afternoon,Delayed
Air Algerie,3895,Dubai,London,Evening,Morning,On Time
Etihad Airways,1805,Madrid,Berlin,Evening,Morning,Cancelled
Air Algerie,7372,London,Madrid,Evening,Evening,Cancelled
Japan Airlines,8305,Berlin,Tokyo,Morning,Afternoon,Delayed
Etihad Airways,3632,Dubai,Doha,Morning,Morning,Delayed
ITA Airways,454,New York,Doha,Afternoon,Afternoon,On Time
Kuwait Airways,3859,New York,New York,Afternoon,Afternoon,On Time
South Korea Air,9179,Paris,Dubai,Morning,Afternoon,On Time
South Korea Air,4647,Rome,Madrid,Evening,Night,On Time
American Airlines,8028,Doha,Rome,Afternoon,Evening,On Time
South Korea Air,4706,Madrid,Doha,Afternoon,Night,On Time
British Airways,3891,Rome,Berlin,Evening,Night,On Time
Air Algerie,9292,Dubai,Rome,Afternoon,Afternoon,On Time
British Airways,6043,Dubai,London,Morning,Afternoon,Cancelled
Qatar Airways,6569,London,New York,Morning,Afternoon,Cancelled
